JEID,Project,Geo_typ,Proc_code,Norm,x,y,z,curveArray,STPOS1,STPOS2,STPOS3,STPOS4
JE7888,pkw,point,71,+x,229,374,164,[],-14,-1,-7,-7
JE5266,car,curve,21,-x,0,80,129,[{"x":0 "y":80} {"x":100 "y":100} {"x":200 "y":30}],-21,-1,-7,-21
JE6847,van,point,23,+z,278,204,49,[],-21,1,-21,-21
JE1677,van,point,71,-y,229,221,197,[],-14,-21,-21,-7
JE9915,van,point,71,-z,478,226,18,[],-7,1,-14,-7
JE7054,car,point,66,-x,54,113,235,[],-14,1,-7,-14
JE9311,car,point,21,+y,355,12,53,[],-14,-21,1,-21
JE9893,van,point,71,+y,224,350,216,[],1,2,-11,-14
JE3726,van,point,21,-x,41,307,486,[],-7,-11,-1,-11
JE9736,van,point,66,+y,178,62,457,[],-11,-21,-11,1
JE2880,van,point,66,+z,7,314,225,[],1,2,1,3
JE5956,pkw,point,21,-z,449,236,76,[],-21,-21,1,-7
JE5661,car,point,23,-z,300,135,417,[],1,2,-1,1
JE7800,pkw,point,66,-x,415,107,452,[],-7,1,-11,-11
JE1788,pkw,point,66,+y,102,314,396,[],-1,-11,1,-14
JE9303,car,point,21,+z,347,212,169,[],-11,-14,-14,-21
JE4157,pkw,curve,23,+x,350,50,162,[{"x":350 "y":50} {"x":400 "y":40} {"x":500 "y":80}],-1,1,-7,-14
JE8460,van,point,23,-z,34,25,60,[],1,2,-11,-11
JE1979,car,point,21,+y,29,310,182,[],-21,-11,-1,-11
JE7716,van,point,23,+y,60,160,43,[],1,2,-1,-11
JE4742,car,point,23,+y,312,368,248,[],-1,-14,-11,1
JE5762,van,point,21,-z,100,277,469,[],-7,-11,-1,-14
JE2828,pkw,curve,21,-x,150,150,283,[{"x":150 "y":150} {"x":330 "y":220} {"x":250 "y":180}],1,2,-21,-7
JE8920,pkw,point,21,-x,400,57,259,[],-1,-21,-14,-7
JE3905,pkw,point,66,-x,402,9,23,[],1,2,-7,-7
JE7352,pkw,point,21,-x,360,494,498,[],-7,-14,-11,-7
JE1816,pkw,point,21,-x,399,454,250,[],-14,-14,-14,-14
JE7300,pkw,point,71,+y,94,207,389,[],1,2,3,1
JE7586,car,point,23,+z,493,456,460,[],-1,-14,-7,-14
JE6295,van,point,66,+x,291,111,440,[],-14,-21,-14,1
JE9297,van,point,66,-x,318,394,285,[],-7,-7,-11,-21
JE6603,van,point,66,+x,472,129,200,[],-7,-11,-21,-14
JE1479,pkw,point,21,-z,394,452,216,[],-7,-14,-21,-21
JE7264,car,point,21,-y,238,20,456,[],1,2,-1,1
JE6933,pkw,point,21,-z,119,287,317,[],-11,-7,-21,-11
JE6485,pkw,point,21,-z,383,310,125,[],-21,-21,1,-14
JE7954,car,point,23,-z,185,33,452,[],-14,-11,-1,-11
JE3113,pkw,point,21,-y,488,357,420,[],-21,-7,-1,-21
JE8982,pkw,point,71,-y,95,57,459,[],-21,-14,-1,-7
JE8235,van,point,71,+y,495,13,407,[],-11,-14,-7,-14
JE2757,van,point,21,-z,401,384,217,[],-7,-21,-14,-21
JE5636,car,point,23,+x,390,204,114,[],-1,-11,-11,-21
JE3313,van,point,66,+z,418,63,281,[],-1,1,-14,-11
JE3756,van,point,21,+x,239,218,423,[],-21,1,1,-11
JE8322,pkw,point,23,-y,373,491,258,[],-1,-14,1,-1
JE4732,car,point,21,-y,232,381,256,[],-7,-1,-1,-7
JE1110,pkw,point,71,+x,173,346,362,[],-14,1,-21,1
JE9463,pkw,point,66,+x,418,286,45,[],-21,-11,-14,-1
JE3629,van,point,66,-x,105,276,350,[],-11,-7,-21,-14
JE4333,van,point,21,+z,486,496,347,[],-11,-11,-7,1
